level,capacity,total_carbon_kg,reduction_pct,temporal_contribution_pp,forced_admissions,capacity_violations_662,avg_delay_h
0.5x,6,12260.263346455959,58.04957521331997,1.1995752133199673,39903,29962,4.542515902587519
0.75x,9,11552.78955819559,60.47030836596823,3.620308365968228,25357,3565,4.050932696156773
1x,12,10804.999898703645,63.028988630845404,6.178988630845403,13223,227,2.967778692351598
1.5x,18,10127.080248608496,65.34859763834277,8.498597638342765,9418,17,2.084081997336377
2x,24,10018.042326875144,65.72168808553069,8.871688085530685,8807,4,1.871882027968036
inf,100000,9996.211113762129,65.79638702451915,8.946387024519147,8572,0,1.7688387060502277
