job_name,submit_time,origin,assigned,k,duration,latency_ms,carbon_g,dropped
j_073030,20437.2,Germany,US_West,4,28.5,153.0,1.5516666666666667,False
j_036505,20599.4,US_East,US_West,4,55.4,74.0,3.0162222222223014,False
j_127799,20833.9,Japan,US_West,1,10987.4,109.0,598.9168888888889,False
j_127783,21439.3,Japan,France,4,29.4,228.0,0.12250000000000606,False
j_091295,21687.1,Korea,France,3,367.6,238.0,1.8379999999999928,False
j_073019,21818.0,Germany,France,1,3827.8,12.0,19.26283333333333,False
j_109542,22027.4,India,France,5,8.5,137.0,0.0425,False
j_109514,22354.8,India,France,3,335.6,137.0,1.6779999999999928,False
j_109540,22410.4,India,US_West,5,8.6,225.0,0.45866666666658906,False
j_091271,22432.7,Korea,France,4,37.3,238.0,0.18649999999999636,False
j_091290,22495.1,Korea,US_West,5,14.6,134.0,0.778666666666589,False
j_054776,22496.0,France,US_West,2,4874.9,146.0,261.20072222222234,False
j_109506,22701.2,India,France,4,47.0,137.0,0.235,False
j_109536,23714.6,India,France,5,6.5,137.0,0.0325,False
j_036500,23762.7,US_East,US_West,1,3172.4,74.0,170.15861111111118,False
j_036529,24200.6,US_East,France,1,17498.8,90.0,95.6603333333333,False
j_000032,24345.2,US_West,France,5,2.8,146.0,0.013999999999996363,False
j_091269,24672.4,Korea,France,3,393.2,238.0,1.9660000000000037,False
j_091253,24696.8,Korea,US_West,5,6.8,134.0,0.36266666666662783,False
j_109527,25425.1,India,France,5,4.9,137.0,0.02586111111111879,False
j_127787,25445.9,Japan,France,4,76.9,228.0,0.4058611111111188,False
j_109532,25783.2,India,France,4,22.1,137.0,0.11663888888888121,False
j_109510,26255.1,India,US_West,3,54.5,225.0,2.9369444444444444,False
j_054772,26567.8,France,France,4,60.9,0.0,0.32141666666667434,False
j_127790,26744.8,Japan,France,5,3.6,228.0,0.018999999999992318,False
j_000046,26785.0,US_West,France,1,4169.3,146.0,23.20147222222222,False
j_054784,27225.8,France,US_West,5,7.7,146.0,0.41494444444448364,False
j_054786,27301.7,France,US_West,4,10.0,146.0,0.5388888888888889,False
j_091263,27414.3,Korea,France,1,8132.3,238.0,45.79452777777777,False
j_054798,27417.1,France,US_West,4,190.1,146.0,10.244277777777699,False
j_109515,27425.1,India,US_West,3,65.3,225.0,3.518944444444405,False
j_036511,27505.7,US_East,France,1,3489.6,90.0,19.636944444444435,False
j_018281,27787.4,US_Central,US_West,2,2129.8,39.0,117.87588888888887,False
j_127798,28017.3,Japan,France,5,7.5,228.0,0.03958333333333333,False
j_036542,28158.7,US_East,US_West,1,2884.6,74.0,161.67927777777768,False
j_109523,28585.4,India,US_West,4,32.4,225.0,1.7460000000000784,False
j_109521,28843.6,India,France,3,53.7,137.0,0.31325000000000425,False
j_018292,28944.7,US_Central,France,2,535.9,113.0,3.1260833333333418,False
j_054781,29060.1,France,France,5,13.1,0.0,0.07641666666665818,False
j_000011,29100.1,US_West,US_West,1,4215.5,0.0,239.1326666666667,False
j_127760,29197.0,Japan,France,5,4.0,228.0,0.023333333333333334,False
j_073005,29498.3,Germany,France,5,2.6,12.0,0.015166666666658179,False
j_109535,29543.4,India,France,5,2.2,137.0,0.012833333333337577,False
j_109500,29570.1,India,US_West,4,17.9,225.0,1.0143333333334157,False
j_018286,29822.9,US_Central,US_West,1,21600.0,39.0,1262.2731367938889,False
j_109503,30070.4,India,France,4,36.7,137.0,0.21408333333333757,False
j_073032,31231.3,Germany,US_West,5,11.1,153.0,0.6289999999999175,False
j_000043,31575.4,US_West,US_West,5,4.1,0.0,0.23233333333325087,False
j_054766,31770.6,France,France,5,4.4,0.0,0.025666666666675154,False
j_018255,31813.9,US_Central,US_West,1,5382.4,39.0,308.3288055555556,False
j_036546,31859.8,US_East,US_West,1,2949.8,74.0,167.82466666666662,False
j_000020,31915.8,US_West,US_West,1,17386.7,0.0,1016.0637144444446,False
j_073044,32333.7,Germany,US_West,5,3.4,153.0,0.19266666666674911,False
j_109547,32691.2,India,France,4,12.5,137.0,0.06944444444444445,False
j_073000,32801.3,Germany,France,1,17208.2,12.0,92.70958333333331,False
j_109522,33032.3,India,France,5,1.8,137.0,0.01000000000001617,False
j_036517,33037.1,US_East,US_West,1,8754.0,74.0,506.31759550611116,False
j_018295,33487.4,US_Central,France,1,12889.4,113.0,69.72533333333334,False
j_000021,33781.3,US_West,France,1,2296.5,146.0,12.736722222222221,False
j_109538,34173.3,India,France,1,21600.0,137.0,117.49258333333333,False
j_000040,34234.8,US_West,US_West,1,7317.1,0.0,424.2947886216666,False
